date,app_installed,contact_tracing_enabled
2022-02-14,13195466.42857143,9587568.42857143
2022-02-15,13170455.142857144,9557977.57142857
2022-02-16,13146707.857142856,9534253.285714285
2022-02-17,13125887.42857143,9515729.285714285
2022-02-18,13102320.42857143,9496697.42857143
2022-02-19,13076636.714285715,9478645.714285715
2022-02-20,13047789.42857143,9459147.57142857
2022-02-21,13010211.42857143,9435530.285714285
2022-02-22,12970473.285714285,9414584.142857144
2022-02-23,12922164,9388953.857142856
2022-02-24,12870277.57142857,9361692.57142857
2022-02-25,12818433.57142857,9331877.42857143
2022-02-26,12774616.714285715,9302338.142857144
2022-02-27,12734353.285714285,9272481.857142856
2022-02-28,12703131,9246323
2022-03-01,12677306.857142856,9223129
2022-03-02,12658642.42857143,9200634.57142857
2022-03-03,12642573.285714285,9178267.857142856
2022-03-04,12628715.57142857,9158188.285714285
2022-03-05,12608336.857142856,9136962.857142856
2022-03-06,12569605,9102869.142857144
2022-03-07,12548072.142857144,9083085.57142857
2022-03-08,12526821.857142856,9063854.142857144
2022-03-09,12505706.285714285,9045890.857142856
2022-03-10,12484675.57142857,9027712.142857144
2022-03-11,12463227,9010361
2022-03-12,12439920.57142857,8993901
2022-03-13,12429089.285714285,8991522
2022-03-14,12399974.285714285,8974779.714285715
2022-03-15,12376587.714285715,8959503
2022-03-16,12356038.142857144,8944250.285714285
2022-03-17,12337624,8929516.142857144
2022-03-18,12321757.285714285,8915189.57142857
2022-03-19,12309844,8901736
2022-03-20,12303640.857142856,8888954.285714285
2022-03-21,12298266.42857143,8876431.285714285
2022-03-22,12288016.42857143,8863767.57142857
2022-03-23,12275889.142857144,8851919.57142857
2022-03-24,12262127.714285715,8841365.285714285
2022-03-25,12246040.714285715,8828312.285714285
2022-03-26,12228518.857142856,8813542.714285715
2022-03-27,12210719.42857143,8798452
2022-03-28,12192767,8784363.714285715
2022-03-29,12169601.285714285,8769300
2022-03-30,12140098.142857144,8753274.857142856
2022-03-31,12105398.285714285,8734117.142857144
2022-04-01,12068559,8715174.142857144
2022-04-02,12029567.857142856,8696333.285714285
2022-04-03,11988884.57142857,8676688.714285715
2022-04-04,11948817.142857144,8656813.857142856
2022-04-05,11912705.42857143,8637583.714285715
2022-04-06,11881739.142857144,8618119.285714285
2022-04-07,11853289.857142856,8598410.57142857
2022-04-08,11826706.714285715,8577764.42857143
2022-04-09,11804620.57142857,8559225.285714285
2022-04-10,11779698.57142857,8539753.714285715
2022-04-11,11753297.42857143,8520589.42857143
2022-04-12,11728243,8495514.714285715
2022-04-13,11710029,8475712.57142857
2022-04-14,11694347.714285715,8456353
2022-04-15,11681777.142857144,8435353.285714285
2022-04-16,11666389,8420958.57142857
2022-04-17,11656174.285714285,8410752.57142857
2022-04-18,11646556.57142857,8400516.714285715
2022-04-19,11636674.714285715,8395939
2022-04-20,11619975.42857143,8387214.142857143
2022-04-21,11601386.714285715,8379365.285714285
2022-04-22,11580671.857142856,8375822.142857143
2022-04-23,11559985.57142857,8364407.142857143
2022-04-24,11537796.142857144,8349553.571428572
2022-04-25,11516008,8334382.142857143
2022-04-26,11493511.42857143,8319378.571428572
2022-04-27,11469588.714285715,8301558.142857143
2022-04-28,11446965,8281425.142857143
2022-04-29,11424634.142857144,8254035
2022-04-30,11402502,8234328.142857143
2022-05-01,11380889.714285715,8215921.428571428
2022-05-02,11359368.285714285,8197060
2022-05-03,11339066.42857143,8178787.571428572
2022-05-04,11320459.57142857,8162366.428571428
2022-05-05,11301897.42857143,8149049
2022-05-06,11282002.857142856,8140639.857142857
2022-05-07,11261637.714285715,8124078.142857143
2022-05-08,11240552.857142856,8106433.285714285
2022-05-09,11219397.857142856,8089080.285714285
2022-05-10,11198500,8072586.285714285
2022-05-11,11174341.57142857,8055346.571428572
2022-05-12,11147922.57142857,8038184.285714285
2022-05-13,11119627.142857144,8021259.857142857
2022-05-14,11082342.285714285,7996589
2022-05-15,11060919.42857143,7981878
2022-05-16,11042300,7968250.142857143
2022-05-17,11023567,7952794.857142857
2022-05-18,11007916.142857144,7938011.714285715
2022-05-19,10994661,7923042.142857143
2022-05-20,10983943.285714285,7907739.142857143
2022-05-21,10983523.285714285,7901171.142857143
2022-05-22,10968465.714285715,7886151.714285715
2022-05-23,10950037.142857144,7870273.428571428
2022-05-24,10928673.57142857,7854509
2022-05-25,10906149,7838978
2022-05-26,10884008.714285715,7823936.571428572
2022-05-27,10859007.142857144,7807121.857142857
2022-05-28,10834017.285714285,7791195.571428572
2022-05-29,10804986.285714285,7773417.857142857
2022-05-30,10771064.142857144,7748611.142857143
2022-05-31,10740716.42857143,7722276.428571428
2022-06-01,10717581.42857143,7701885.714285715
2022-06-02,10696527,7683773.571428572
2022-06-03,10678394,7671227.142857143
2022-06-04,10660373.285714285,7658438.142857143
2022-06-05,10646308,7646978.285714285
2022-06-06,10632683.714285715,7640627.857142857
2022-06-07,10618997.42857143,7633033
2022-06-08,10598386.714285715,7618476.285714285
2022-06-09,10577596.857142856,7603248.571428572
2022-06-10,10555785.857142856,7584528.714285715
2022-06-11,10534258.142857144,7565346
2022-06-12,10512516,7546400.285714285
2022-06-13,10496520.57142857,7528884.857142857
2022-06-14,10479698.857142856,7514182
2022-06-15,10466220.57142857,7502436.428571428
2022-06-16,10451220.57142857,7490167.428571428
2022-06-17,10437114.857142856,7478315.142857143
2022-06-18,10422224.714285715,7465083.714285715
2022-06-19,10408806.42857143,7452704.142857143
2022-06-20,10394973.42857143,7439473.142857143
2022-06-21,10379799.285714285,7426144.857142857
2022-06-22,10363583.142857144,7412298
2022-06-23,10349066.42857143,7399286.285714285
2022-06-24,10333284.857142856,7385000.571428572
